name,year,gdppc
Jawa Tengah,2012,10248.48
Jawa Tengah,2013,10236.65
Jawa Tengah,2014,10303.14
Jawa Tengah,2015,10115.51
Jawa Tengah,2016,10240.86
Jawa Tengah,2017,10479.75
Jawa Tengah,2018,11283.67
Jawa Tengah,2019,11676.59
Jawa Tengah,2020,11113.28
Jawa Tengah,2021,11488.28
Jawa Tengah,2022,12517.31
Jawa Timur,2012,10667.94
Jawa Timur,2013,10611.6
Jawa Timur,2014,10809.02
Jawa Timur,2015,10573.93
Jawa Timur,2016,10765.19
Jawa Timur,2017,11003.82
Jawa Timur,2018,11661.07
Jawa Timur,2019,12172.07
Jawa Timur,2020,11486.09
Jawa Timur,2021,11999.9
Jawa Timur,2022,13041.06
Kalimantan Barat,2012,11073.9
Kalimantan Barat,2013,11066.87
Kalimantan Barat,2014,11307.46
Kalimantan Barat,2015,11089.72
Kalimantan Barat,2016,11341.2
Kalimantan Barat,2017,11647.98
Kalimantan Barat,2018,12235.53
Kalimantan Barat,2019,12613.4
Kalimantan Barat,2020,11954.02
Kalimantan Barat,2021,12312.56
Kalimantan Barat,2022,13371.33
Kalimantan Selatan,2012,10729.56
Kalimantan Selatan,2013,10703.16
Kalimantan Selatan,2014,10926.32
Kalimantan Selatan,2015,10565.38
Kalimantan Selatan,2016,10761.5
Kalimantan Selatan,2017,11066.68
Kalimantan Selatan,2018,11659.29
Kalimantan Selatan,2019,12286.43
Kalimantan Selatan,2020,11642.88
Kalimantan Selatan,2021,12110.24
Kalimantan Selatan,2022,13016.66
Kalimantan Tengah,2012,11832.64
Kalimantan Tengah,2013,11833.67
Kalimantan Tengah,2014,12017.27
Kalimantan Tengah,2015,11807.67
Kalimantan Tengah,2016,12113.28
Kalimantan Tengah,2017,12352.17
Kalimantan Tengah,2018,13296.84
Kalimantan Tengah,2019,13740.33
Kalimantan Tengah,2020,13099.17
Kalimantan Tengah,2021,13707.99
Kalimantan Tengah,2022,14647.44
Kepulauan Riau,2012,15830.89
Kepulauan Riau,2013,15919.27
Kepulauan Riau,2014,16175.64
Kepulauan Riau,2015,15754.91
Kepulauan Riau,2016,15962.13
Kepulauan Riau,2017,16492.59
Kepulauan Riau,2018,17105.28
Kepulauan Riau,2019,15694.14
Kepulauan Riau,2020,15162.48
Kepulauan Riau,2021,16513.97
Kepulauan Riau,2022,16771.45
Lampung,2012,9557.63
Lampung,2013,9527.07
Lampung,2014,9732.9
Lampung,2015,9557.43
Lampung,2016,9716.87
Lampung,2017,10031.2
Lampung,2018,10673.49
Lampung,2019,11107.57
Lampung,2020,10554.82
Lampung,2021,10937.32
Lampung,2022,11751.45
Maluku Utara,2012,11377.84
Maluku Utara,2013,11366.84
Maluku Utara,2014,11626.8
Maluku Utara,2015,11345.94
Maluku Utara,2016,11764.2
Maluku Utara,2017,12257.26
Maluku Utara,2018,12571.02
Maluku Utara,2019,12770.94
Maluku Utara,2020,12217.44
Maluku Utara,2021,13311.81
Maluku Utara,2022,14168.32
Maluku,2012,11705.48
Maluku,2013,11645.13
Maluku,2014,11855.97
Maluku,2015,11619.99
Maluku,2016,11758.08
Maluku,2017,12021.93
Maluku,2018,12742.52
Maluku,2019,13114.74
Maluku,2020,12514.23
Maluku,2021,13052.54
Maluku,2022,13908.58
Aceh,2012,10388.96
Aceh,2013,10390.71
Aceh,2014,10630.12
Aceh,2015,10430.87
Aceh,2016,10537.25
Aceh,2017,10851.21
Aceh,2018,11558.87
Aceh,2019,11909.64
Aceh,2020,11319.76
Aceh,2021,11749.46
Aceh,2022,12684.41
Nusa Tenggara Barat,2012,10112.47
Nusa Tenggara Barat,2013,10157.59
Nusa Tenggara Barat,2014,10281.89
Nusa Tenggara Barat,2015,10016.53
Nusa Tenggara Barat,2016,10161.62
