year,longitude,latitude,gdp_pwt,pop_pwt,gdppc,ln_gdppc,name_1,name_2
2012,110.5,-6.5,300.1956,0.0258,11640.6985,9.3623,Jawa Tengah,Jepara
2013,110.5,-6.5,305.8535,0.0261,11713.0911,9.3685,Jawa Tengah,Jepara
2014,110.5,-6.5,310.7544,0.0263,11813.8665,9.377,Jawa Tengah,Jepara
2015,110.5,-6.5,310.4097,0.0266,11676.0624,9.3653,Jawa Tengah,Jepara
2016,110.5,-6.5,314.0499,0.0269,11693.6993,9.3668,Jawa Tengah,Jepara
2017,110.5,-6.5,324.0992,0.0271,11940.7087,9.3877,Jawa Tengah,Jepara
2018,110.5,-6.5,345.4578,0.0267,12933.6321,9.4676,Jawa Tengah,Jepara
2019,110.5,-6.5,347.1593,0.0257,13531.15,9.5127,Jawa Tengah,Jepara
2020,110.5,-6.5,327.1119,0.0259,12653.7984,9.4457,Jawa Tengah,Jepara
2021,110.5,-6.5,367.5233,0.0281,13072.8271,9.4783,Jawa Tengah,Jepara
2022,110.5,-6.5,526.9662,0.0356,14785.4704,9.6014,Jawa Tengah,Jepara
2012,110.75,-6.75,1994.4036,0.2028,9835.9044,9.1938,Jawa Tengah,Jepara
2013,110.75,-6.75,2036.3983,0.2053,9920.6294,9.2024,Jawa Tengah,Jepara
2014,110.75,-6.75,2262.8392,0.229,9882.9794,9.1986,Jawa Tengah,Jepara
2015,110.75,-6.75,2270.5886,0.2323,9772.3464,9.1873,Jawa Tengah,Jepara
2016,110.75,-6.75,2309.9888,0.2339,9876.5246,9.1979,Jawa Tengah,Jepara
2017,110.75,-6.75,2396.2787,0.2363,10140.7235,9.2243,Jawa Tengah,Jepara
2018,110.75,-6.75,3271.9647,0.2795,11705.4485,9.3678,Jawa Tengah,Jepara
2019,110.75,-6.75,3284.6988,0.2683,12243.6907,9.4128,Jawa Tengah,Jepara
2020,110.75,-6.75,3142.7421,0.2707,11609.7946,9.3596,Jawa Tengah,Jepara
2021,110.75,-6.75,3475.6509,0.2902,11978.0442,9.3908,Jawa Tengah,Jepara
2022,110.75,-6.75,6504.1971,0.5434,11968.7272,9.3901,Jawa Tengah,Jepara
2012,110.75,-6.5,3300.3204,0.3125,10562.2472,9.265,Jawa Tengah,Jepara
2013,110.75,-6.5,3390.7357,0.3164,10717.856,9.2797,Jawa Tengah,Jepara
2014,110.75,-6.5,3419.2622,0.3181,10750.3331,9.2827,Jawa Tengah,Jepara
2015,110.75,-6.5,3377.7001,0.3215,10506.7253,9.2598,Jawa Tengah,Jepara
2016,110.75,-6.5,3524.7161,0.3245,10861.6292,9.293,Jawa Tengah,Jepara
2017,110.75,-6.5,3638.9601,0.3282,11089.3111,9.3137,Jawa Tengah,Jepara
2018,110.75,-6.5,3681.0653,0.3212,11459.4403,9.3466,Jawa Tengah,Jepara
2019,110.75,-6.5,3353.6253,0.3086,10867.3512,9.2935,Jawa Tengah,Jepara
2020,110.75,-6.5,3244.5166,0.311,10430.8943,9.2525,Jawa Tengah,Jepara
2021,110.75,-6.5,3984.6426,0.3349,11897.7893,9.3841,Jawa Tengah,Jepara
2022,110.75,-6.5,3089.9875,0.2482,12450.128,9.4295,Jawa Tengah,Jepara
2012,111.0,-7.75,2459.9455,0.2798,8793.0144,9.0817,Jawa Tengah,Karanganyar
2013,111.0,-7.75,2508.1242,0.2831,8858.4862,9.0891,Jawa Tengah,Karanganyar
2014,111.0,-7.75,2875.3364,0.3207,8965.0247,9.1011,Jawa Tengah,Karanganyar
2015,111.0,-7.75,2870.9089,0.3245,8848.0112,9.0879,Jawa Tengah,Karanganyar
2016,111.0,-7.75,2951.7225,0.3252,9076.5293,9.1134,Jawa Tengah,Karanganyar
2017,111.0,-7.75,3039.519,0.3287,9248.0253,9.1322,Jawa Tengah,Karanganyar
2018,111.0,-7.75,3183.194,0.3237,9833.5404,9.1936,Jawa Tengah,Karanganyar
